obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur
USA-1869,81dcc176-1e42-11e4-b4cd-db5882bf8def,2,USA,Grant,1869-03-04,04mar1869,1877-03-04,04mar1877,Regular,Regular,Regular,0,OK,M,1822,1885,NA,,1885-07-23,23jul1885,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ulysses-5FS.-5FGrant&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=x7yRI4mbwG8b0j8c_AwqAahtkPcCfIY2uH8tdRaReBw&e=,0,1,0,0,NA,NA
USA-1877,81dcc177-1e42-11e4-b4cd-db5882bf8def,2,USA,Hayes,1877-03-04,04mar1877,1881-03-04,04mar1881,Regular,Regular,Regular,0,OK,M,1822,1893,NA,,1893-01-17,17jan1893,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Rutherford-5FB.-5FHayes&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8oshcxB52W-Pg-2a6AvRVJEYMU-S-RG55-369eJ-PyY&e=,0,1,0,0,NA,NA
USA-1881-1,81dcf24a-1e42-11e4-b4cd-db5882bf8def,2,USA,Garfield,1881-03-04,04mar1881,1881-09-19,19sep1881,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1831,1881,NA,,1881-09-19,19sep1881,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_James-5FA.-5FGarfield&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qTPSlRS-mPD_m8ZM3luuJ4W47DtmOPoXSnSZn-lYsqM&e=,0,3,11,3,NA,NA
USA-1881-2,81dcf24b-1e42-11e4-b4cd-db5882bf8def,2,USA,Arthur,1881-09-19,19sep1881,1885-03-04,04mar1885,Regular,Regular,Regular,0,OK,M,1829,1886,NA,,1886-11-18,18nov1886,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Chester-5FA.-5FArthur&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=XiglK4IJ3ZCC1kR4Hmb8eVB-V7A0tQprCtTKzOl42YM&e=,0,1,0,0,NA,NA
USA-1885,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1885-03-04,04mar1885,1889-03-04,04mar1889,Regular,Regular,Regular,0,OK,M,1837,1908,NA,,1908-06-24,24jun1908,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1,0,0,NA,NA
USA-1889,81dcf24d-1e42-11e4-b4cd-db5882bf8def,2,USA,Harrison,1889-03-04,04mar1889,1893-03-04,04mar1893,Regular,Regular,Regular,0,OK,M,1833,1901,NA,,1901-03-13,13mar1901,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Benjamin-5FHarrison&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=MA-TUrYNLJuZ9PTyDnsCkyBUtUyUkXWBHX7_p3f3pnA&e=,0,1,0,0,NA,NA
USA-1893,34fb1558-3bbd-11e5-afeb-eb6f07f9fec7,2,USA,Cleveland,1893-03-04,04mar1893,1897-03-04,04mar1897,Regular,Regular,Regular,1,OK,M,1837,1908,NA,,1908-06-24,24jun1908,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Grover-5FCleveland&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=BH6RahZV58hS1fIGz1muHnQkbAirSz4Yy2wc6chejsQ&e=,0,1,0,0,NA,NA
USA-1897,81dcf24e-1e42-11e4-b4cd-db5882bf8def,2,USA,McKinley,1897-03-04,04mar1897,1901-09-14,14sep1901,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1843,1901,NA,,1901-09-14,14sep1901,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FMcKinley&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=c1fTbGMfG49MP3oJebg3Hp83_F7aiBUUfKgnhRd8AWs&e=,0,3,11,3,NA,NA
USA-1901,81dd231e-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, T.",1901-09-14,14sep1901,1909-03-04,04mar1909,Regular,Regular,Regular,0,OK,M,1858,1919,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Theodore-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=mdUxrnAfyEPLl3hgYW-m-YrEL1hVsBHltrXf6_VHzrA&e=,0,1,0,0,"Uncle (distant) of Roosevelt, F.%81dd53f3-1e42-11e4-b4cd-db5882bf8def",0
USA-1909,81dd231f-1e42-11e4-b4cd-db5882bf8def,2,USA,Taft,1909-03-04,04mar1909,1913-03-04,04mar1913,Regular,Regular,Regular,0,OK,M,1857,1930,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_William-5FHoward-5FTaft&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=bhEfrjiKenGUoUgvh3M4oCxkX9bJoHnDemF4c6OtEtE&e=,0,1,0,0,NA,NA
USA-1913,81dd2320-1e42-11e4-b4cd-db5882bf8def,2,USA,Wilson,1913-03-04,04mar1913,1921-03-04,04mar1921,Regular,Regular,Regular,0,OK,M,1856,1924,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Woodrow-5FWilson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=ClslkAGMxFPwxEqNwig9hoUm-6paj7k9nJQgfZTGBe0&e=,0,1,0,0,NA,NA
USA-1921,81dd2321-1e42-11e4-b4cd-db5882bf8def,2,USA,Harding,1921-03-04,04mar1921,1923-08-03,03aug1923,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1865,1923,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Warren-5FG.-5FHarding&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=n19WCVJ00e6jAF9KgkqB1QA165ud9DQdOVE8YT4d3LE&e=,0,2,0,-777,NA,NA
USA-1923,81dd2322-1e42-11e4-b4cd-db5882bf8def,2,USA,Coolidge,1923-08-03,03aug1923,1929-03-04,04mar1929,Regular,Regular,Regular,0,OK,M,1872,1933,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Calvin-5FCoolidge&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=NOK4weNtqbdh5IqnE0L5KCW3Toiiym3Zad3PQTU1A-8&e=,0,1,0,0,NA,NA
USA-1929,81dd53f2-1e42-11e4-b4cd-db5882bf8def,2,USA,Hoover,1929-03-04,04mar1929,1933-03-04,04mar1933,Regular,Regular,Regular,0,OK,M,1874,1964,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Herbert-5FHoover&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=W0eBFvC2m3N346qhf_r9iGv5N_TNz7Zg6JxS7NQ5y7k&e=,0,1,0,0,NA,NA
USA-1933,81dd53f3-1e42-11e4-b4cd-db5882bf8def,2,USA,"Roosevelt, F.",1933-03-04,04mar1933,1945-04-12,12apr1945,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1882,1945,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Franklin-5FD.-5FRoosevelt&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=leTWvRisdM5Al2qrBj_GjPmFtyEZBnwk2iFJ1n4BAI8&e=,0,2,0,-777,"Nephew (distant) of Roosevelt, T.%81dd231e-1e42-11e4-b4cd-db5882bf8def",1
USA-1945,81dd53f4-1e42-11e4-b4cd-db5882bf8def,2,USA,Truman,1945-04-12,12apr1945,1953-01-20,20jan1953,Regular,Regular,Regular,0,OK,M,1884,1972,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Harry-5FS.-5FTruman&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=8lvMz1dVajkRMhTCrwHn4rz8eECIgC0MEzNUFYGVA4s&e=,0,1,0,0,NA,NA
USA-1953,81dd53f5-1e42-11e4-b4cd-db5882bf8def,2,USA,Eisenhower,1953-01-20,20jan1953,1961-01-20,20jan1961,Regular,Regular,Regular,0,OK,M,1890,1969,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Dwight-5FD.-5FEisenhower&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rbOQoIR9XqJmFi2S0wTaEXDdPmKH7drhnWtGndAuYug&e=,0,1,0,0,NA,NA
USA-1961,81dd53f6-1e42-11e4-b4cd-db5882bf8def,2,USA,Kennedy,1961-01-20,20jan1961,1963-11-22,22nov1963,Regular,Irregular,Assassination by Unsupported Individual,0,Death,M,1917,1963,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FF.-5FKennedy&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fz5b5YwDtYUHk4b8O09aRvlQy8YHM2GtYr6PPuqXASk&e=,0,3,11,3,NA,NA
USA-1963,81dd84c6-1e42-11e4-b4cd-db5882bf8def,2,USA,Johnson,1963-11-22,22nov1963,1969-01-20,20jan1969,Regular,Regular,Regular,0,OK,M,1908,1973,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Lyndon-5FB.-5FJohnson&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qMRnItod8XC9Z7Sa982pUDwLoBi4BVk8uy8zud2q9ho&e=,0,1,0,0,NA,NA
USA-1969,81dd84c7-1e42-11e4-b4cd-db5882bf8def,2,USA,Nixon,1969-01-20,20jan1969,1974-08-09,09aug1974,Regular,Regular,Regular,0,OK,M,1913,1994,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Richard-5FNixon&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Oup_2LmC4QJUy7zu8ke76SIe_xdKi4GnqB2hGVHCmBc&e=,0,1,0,0,NA,NA
USA-1974,81dd84c8-1e42-11e4-b4cd-db5882bf8def,2,USA,Ford,1974-08-09,09aug1974,1977-01-20,20jan1977,Regular,Regular,Regular,0,OK,M,1913,2006,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Gerald-5FFord&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=rKHx6vASUC4iuo25L7XbRY9u7foC16KAVPOeee6VzWE&e=,0,1,0,0,NA,NA
USA-1977,81dd84c9-1e42-11e4-b4cd-db5882bf8def,2,USA,Carter,1977-01-20,20jan1977,1981-01-20,20jan1981,Regular,Regular,Regular,0,OK,M,1924,-777,NA,,NA,,NA,0,1,0,0,NA,NA
USA-1981,81dd84ca-1e42-11e4-b4cd-db5882bf8def,2,USA,Reagan,1981-01-20,20jan1981,1989-01-20,20jan1989,Regular,Regular,Regular,0,OK,M,1911,2004,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Ronald-5FReagan&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=lkRsyOx2c3jHBdhtoz88j8z6MALbfv0cigW48DI3G54&e=,0,1,0,0,NA,NA
USA-1989,81ddb59a-1e42-11e4-b4cd-db5882bf8def,2,USA,G.H.W. Bush,1989-01-20,20jan1989,1993-01-20,20jan1993,Regular,Regular,Regular,0,OK,M,1924,-777,NA,,NA,,NA,0,1,0,0,Father of G.W. Bush%81ddb59c-1e42-11e4-b4cd-db5882bf8def,0
USA-1993,81ddb59b-1e42-11e4-b4cd-db5882bf8def,2,USA,Clinton,1993-01-20,20jan1993,2001-01-20,20jan2001,Regular,Regular,Regular,0,OK,M,1946,-777,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Bill-5FClinton&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=q83unszM5hbFxemh6q9IpkwHcXB177RSsz8TJwSDHMM&e=,0,1,0,0,NA,NA
USA-2001,81ddb59c-1e42-11e4-b4cd-db5882bf8def,2,USA,G.W. Bush,2001-01-21,21jan2001,2009-01-20,20jan2009,Regular,Regular,Regular,0,OK,M,1946,-777,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_George-5FW.-5FBush&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=yGi57JS_o8DCAgvCRWEExDmyN3b0n5O8GhHKvmXjJNI&e=,0,1,0,0,Son of G.H.W. Bush%81ddb59a-1e42-11e4-b4cd-db5882bf8def,1
USA-2009,824fc72f-1e42-11e4-b4cd-db5882bf8def,2,USA,Obama,2009-01-20,20jan2009,2015-12-31,31dec2015,Regular,Still in Office,Still in Office,0,Leader Still in Office,M,1961,-777,1961-08-04,04aug1961,NA,,NA,0,-888,-888,-888,NA,NA
CAN-1873,81ddb59d-1e42-11e4-b4cd-db5882bf8def,20,CAN,Mackenzie,1873-11-07,07nov1873,1878-10-17,17oct1878,Regular,Regular,Regular,0,OK,M,1822,1892,NA,,1892-04-17,17apr1892,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Alexander-5FMackenzie&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=k6r3Pw-62MkbXzBATsAYVx1IuxSDqmIJjem1sBmmCwM&e=,0,1,0,0,NA,NA
CAN-1878,197110a8-3bbd-11e5-afeb-eb6f07f9fec7,20,CAN,Macdonald,1878-10-17,17oct1878,1891-06-06,06jun1891,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1815,1891,NA,,1891-06-06,06jun1891,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FA.-5FMacdonald&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=48mzgFtirP2HSdJCXb_rKfRzyhmk-xDMOoOtUE502mo&e=,0,2,0,-777,NA,NA
CAN-1891,81ddb59e-1e42-11e4-b4cd-db5882bf8def,20,CAN,Abbott,1891-06-16,16jun1891,1892-12-05,05dec1892,Regular,Regular,Regular,0,OK,M,1821,1893,NA,,1893-10-30,30oct1893,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_John-5FAbbott&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=tUEQYgkxwyl5E0vwF5BABzdbSh2jlKuHVhC1SRmYCvw&e=,0,1,0,0,NA,NA
CAN-1892,81dde678-1e42-11e4-b4cd-db5882bf8def,20,CAN,Thompson,1892-12-05,05dec1892,1894-12-12,12dec1894,Regular,Natural Death,Regular,0,Missing: Natural Death within Six Months of Losing Office,M,1845,1894,NA,,NA,,NA,0,2,0,-777,NA,NA
CAN-1894,81dde679-1e42-11e4-b4cd-db5882bf8def,20,CAN,Bowell,1894-12-21,21dec1894,1896-05-01,01may1896,Regular,Regular,Regular,0,OK,M,1823,1917,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Mackenzie-5FBowell&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=60PEb4noCXilyXVujuhdkkpnfQYWwm9wcV4KEfWb6jg&e=,0,1,0,0,NA,NA
CAN-1896-1,81de174c-1e42-11e4-b4cd-db5882bf8def,20,CAN,Tupper,1896-05-01,01may1896,1896-07-11,11jul1896,Regular,Regular,Regular,0,OK,M,1821,1915,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Charles-5FTupper&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=SwNSjv_Nr6aH1NoUFKWaj6wjrNADShiL7oApHYvsyRU&e=,0,1,0,0,NA,NA
CAN-1896-2,81de4820-1e42-11e4-b4cd-db5882bf8def,20,CAN,Laurier,1896-07-11,11jul1896,1911-10-10,10oct1911,Regular,Regular,Regular,0,OK,M,1841,1919,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Wilfrid-5FLaurier&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g09tst56QWN0KuNDYe_u8VrCyLuyc8gLksfx0KF9qDo&e=,0,1,0,0,NA,NA
CAN-1911,81de4821-1e42-11e4-b4cd-db5882bf8def,20,CAN,Borden,1911-10-10,10oct1911,1920-06-10,10jun1920,Regular,Retired Due to Ill Health,Regular,0,OK,M,1854,1937,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Robert-5FBorden&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=3oDRQ0WFDLF-y9CZ9MpmZBulifIpPh6oUY9zPdR0D30&e=,0,2.0999999,0,0,NA,NA
CAN-1920,81de4822-1e42-11e4-b4cd-db5882bf8def,20,CAN,Meighen,1920-07-10,10jul1920,1921-12-29,29dec1921,Regular,Regular,Regular,0,OK,M,1874,1960,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arthur-5FMeighen&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=beEjK11YQvAxkxJNw0MD71hEGdO1cPM93XBAjOSu95M&e=,0,1,0,0,NA,NA
CAN-1921,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1921-12-29,29dec1921,1926-06-28,28jun1926,Regular,Regular,Regular,0,OK,M,1874,1951,NA,,NA,,NA,0,1,0,0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1
CAN-1926-1,81de4822-1e42-11e4-b4cd-db5882bf8def,20,CAN,Meighen,1926-06-29,29jun1926,1926-09-25,25sep1926,Regular,Regular,Regular,1,OK,M,1874,1960,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arthur-5FMeighen&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=beEjK11YQvAxkxJNw0MD71hEGdO1cPM93XBAjOSu95M&e=,0,1,0,0,NA,NA
CAN-1926-2,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1926-09-25,25sep1926,1930-08-07,07aug1930,Regular,Regular,Regular,1,OK,M,1874,1951,NA,,NA,,NA,0,1,0,0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1
CAN-1930,81de4824-1e42-11e4-b4cd-db5882bf8def,20,CAN,Bennett,1930-08-07,07aug1930,1935-10-23,23oct1935,Regular,Regular,Regular,0,OK,M,1870,1947,NA,,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_R.-5FB.-5FBennett&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=N7o5FG1J5XmgggL0nAT5JmcCC4EUqYULZEvFd0z-RGk&e=,0,1,0,0,NA,NA
CAN-1935,81de4823-1e42-11e4-b4cd-db5882bf8def,20,CAN,King,1935-10-23,23oct1935,1948-11-15,15nov1948,Regular,Retired Due to Ill Health,Regular,2,OK,M,1874,1951,NA,,NA,,NA,0,2.0999999,0,0,Father of Ramon Baez%81e1556e-1e42-11e4-b4cd-db5882bf8def,1
