obsid,leadid,ccode,idacr,leader,startdate,eindate,enddate,eoutdate,entry,exit,exitcode,prevtimesinoffice,posttenurefate,gender,yrborn,yrdied,borndate,ebirthdate,deathdate,edeathdate,dbpediauri,numentry,numexit,numexitcode,numposttenurefate,fties,ftcur
ARG-1946,820318b4-1e42-11e4-b4cd-db5882bf8def,160,ARG,Peron,1946-06-04,04jun1946,1955-09-20,20sep1955,Regular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1895,1974,1895-10-08,08oct1895,1974-07-01,01jul1974,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FPer-25C3-25B3n&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=UWQPDNkP5nN9S4RzQmCv1fgp_Z_zmD8dT9A7AOT5iZw&e=,0,3,6,1,"Husband of Peron, Isabel%8203dc03-1e42-11e4-b4cd-db5882bf8def",0
ARG-1955-1,820318b5-1e42-11e4-b4cd-db5882bf8def,160,ARG,Lonardi,1955-09-20,20sep1955,1955-11-13,13nov1955,Irregular,Irregular,"Removed by Military, without Foreign Support",0,Exile,M,1896,1956,1896-09-15,15sep1896,1956-03-22,22mar1956,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Eduardo-5FLonardi&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=sL28VMI1Wo3WxyCBVHN3832Zhx443oa1EY0Dv0Cddlk&e=,1,3,6,1,NA,NA
ARG-1955-2,82034986-1e42-11e4-b4cd-db5882bf8def,160,ARG,Aramburu,1955-11-13,13nov1955,1958-05-01,01may1958,Irregular,Regular,Regular,0,OK,M,1903,1970,1903-05-21,21may1903,1970-05-31,31may1970,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Pedro-5FEugenio-5FAramburu&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=nwr16_2MP5gynuWd9pPZLyvB2un77XMzYnZPPWnqVoE&e=,1,1,0,0,NA,NA
ARG-1958,82034987-1e42-11e4-b4cd-db5882bf8def,160,ARG,Frondizi,1958-05-01,01may1958,1962-03-29,29mar1962,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,M,1908,1995,1908-10-28,28oct1908,1995-04-18,18apr1995,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arturo-5FFrondizi&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=fPLpye_mECEn0G0QLfs86xz_UfEKitPRc2gTlV7LWBA&e=,0,3,6,2,NA,NA
ARG-1962,82034988-1e42-11e4-b4cd-db5882bf8def,160,ARG,Guido,1962-03-29,29mar1962,1963-10-12,12oct1963,Regular,Regular,Regular,0,OK,M,1910,1975,1910-08-20,20aug1910,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Jos-25C3-25A9-5FMar-25C3-25ADa-5FGuido&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=TqObfFAFnIm4JtPT341pIi_5RkNR8c2qsCmeZak6qTU&e=,0,1,0,0,NA,NA
ARG-1963,82037a5a-1e42-11e4-b4cd-db5882bf8def,160,ARG,Arturo Illia,1963-10-12,12oct1963,1966-06-28,28jun1966,Regular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1900,1983,1900-08-04,04aug1900,1983-01-18,18jan1983,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Arturo-5FUmberto-5FIllia&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=f3pkJPBhXHzkQPSytHXKKC-QPe5hzbCg5S83gH6MWgY&e=,0,3,6,0,NA,NA
ARG-1966,82037a5b-1e42-11e4-b4cd-db5882bf8def,160,ARG,Ongania,1966-06-28,28jun1966,1970-06-08,08jun1970,Irregular,Irregular,"Removed by Military, without Foreign Support",0,OK,M,1914,1995,1914-03-17,17mar1914,1995-06-08,08jun1995,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FCarlos-5FOngan-25C3-25ADa&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=g4x2rDMr8zyjWwDeR4xcesiDTVS3ZWAhn_zWZ4QYazQ&e=,1,3,6,0,NA,NA
ARG-1970-1,82037a5c-1e42-11e4-b4cd-db5882bf8def,160,ARG,Lanusse,1970-06-08,08jun1970,1970-06-18,18jun1970,Irregular,Regular,Regular,0,OK,M,1918,1996,1918-08-28,28aug1918,1996-08-26,26aug1996,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Alejandro-5FAgust-25C3-25ADn-5FLanusse&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Rim7V1XX4LthmCTZH8OMiqwtZn8ouqYpjiLC0DRnN_I&e=,1,1,0,0,NA,NA
ARG-1970-2,8203ab2e-1e42-11e4-b4cd-db5882bf8def,160,ARG,Levingston,1970-06-18,18jun1970,1971-03-22,22mar1971,Regular,Irregular,Removed in Military Power Struggle Short of Coup,0,Imprisonment,M,1920,-777,1920-01-10,10jan1920,NA,,NA,0,3,16,2,NA,NA
ARG-1971,82037a5c-1e42-11e4-b4cd-db5882bf8def,160,ARG,Lanusse,1971-03-25,25mar1971,1973-05-25,25may1973,Irregular,Regular,Regular,1,OK,M,1918,1996,1918-08-28,28aug1918,1996-08-26,26aug1996,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Alejandro-5FAgust-25C3-25ADn-5FLanusse&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=Rim7V1XX4LthmCTZH8OMiqwtZn8ouqYpjiLC0DRnN_I&e=,1,1,0,0,NA,NA
ARG-1973-1,8203ab2f-1e42-11e4-b4cd-db5882bf8def,160,ARG,Campora,1973-05-25,25may1973,1973-07-13,13jul1973,Regular,Regular,Regular,0,OK,M,1909,1980,1909-03-26,26mar1909,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_H-25C3-25A9ctor-5FJos-25C3-25A9-5FC-25C3-25A1mpora&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=25bkt0i8d1YsweLvJ7ddSGGOiOiVAdajC4Q4cumYTv8&e=,0,1,0,0,NA,NA
ARG-1973-2,8203dc02-1e42-11e4-b4cd-db5882bf8def,160,ARG,Lastiri,1973-07-13,13jul1973,1973-10-12,12oct1973,Regular,Regular,Regular,0,OK,M,1915,1978,NA,,NA,,NA,0,1,0,0,NA,NA
ARG-1973-3,820318b4-1e42-11e4-b4cd-db5882bf8def,160,ARG,Peron,1973-10-12,12oct1973,1974-07-01,01jul1974,Regular,Natural Death,Regular,1,Missing: Natural Death within Six Months of Losing Office,M,1895,1974,1895-10-08,08oct1895,1974-07-01,01jul1974,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Juan-5FPer-25C3-25B3n&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=UWQPDNkP5nN9S4RzQmCv1fgp_Z_zmD8dT9A7AOT5iZw&e=,0,2,0,-777,"Husband of Peron, Isabel%8203dc03-1e42-11e4-b4cd-db5882bf8def",0
ARG-1974,8203dc03-1e42-11e4-b4cd-db5882bf8def,160,ARG,"Peron, Isabel",1974-07-01,01jul1974,1976-03-29,29mar1976,Regular,Irregular,"Removed by Military, without Foreign Support",0,Imprisonment,F,1931,-777,1931-02-04,04feb1931,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Isabel-5FMart-25C3-25ADnez-5Fde-5FPer-25C3-25B3n&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=JsT9AbTxCAu4csKXIIt8rr8m2WsV7yqjK0_E5-KS37s&e=,0,3,6,2,Wife of Peron%820318b4-1e42-11e4-b4cd-db5882bf8def,1
ARG-1976,8203dc04-1e42-11e4-b4cd-db5882bf8def,160,ARG,Videla,1976-03-29,29mar1976,1981-03-29,29mar1981,Irregular,Regular,Regular,0,OK,M,1925,-777,1925-08-02,02aug1925,NA,,NA,1,1,0,0,NA,NA
ARG-1981-1,82040ce0-1e42-11e4-b4cd-db5882bf8def,160,ARG,Viola,1981-03-29,29mar1981,1981-11-20,20nov1981,Regular,Retired Due to Ill Health,Regular,0,OK,M,1924,1994,1924-10-13,13oct1924,NA,,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Roberto-5FEduardo-5FViola&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=qAYUsNtb81_SMPLqC9miDrhh_M2EI2rh6kbhGlMXSPE&e=,0,2.0999999,0,0,NA,NA
ARG-1981-2,82040ce1-1e42-11e4-b4cd-db5882bf8def,160,ARG,Liendo,1981-11-20,20nov1981,1981-12-11,11dec1981,Regular,Irregular,Removed in Military Power Struggle Short of Coup,0,OK,M,1924,2007,1924-12-17,17dec1924,NA,,NA,0,3,16,0,NA,NA
ARG-1981-3,82040ce2-1e42-11e4-b4cd-db5882bf8def,160,ARG,Galtieri,1981-12-12,12dec1981,1982-06-17,17jun1982,Irregular,Irregular,Removed in Military Power Struggle Short of Coup,0,Imprisonment,M,1926,2003,1926-07-15,15jul1926,2003-01-12,12jan2003,https://urldefense.proofpoint.com/v2/url?u=http-3A__dbpedia.org_resource_Leopoldo-5FGaltieri&d=BQID-g&c=kbmfwr1Yojg42sGEpaQh5ofMHBeTl9EI2eaqQZhHbOU&r=ZliGVSRwfirWoETOrKCh2RSnoygzVPWEk95Me9L-Kwo&m=EaKyFx9mpkhPdFxsxzvW_fiM3jbYwM3xYLjVbSFoDAg&s=A78ixqeZNK_4-jLf8kaA98BaO66SwOkPosBYz6cnh7M&e=,1,3,16,2,NA,NA
ARG-1982-1,82043db4-1e42-11e4-b4cd-db5882bf8def,160,ARG,Saint-Jean,1982-06-18,18jun1982,1982-07-01,01jul1982,Irregular,Regular,Regular,0,OK,M,1926,1987,NA,,NA,,NA,1,1,0,0,NA,NA
